https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,-1,0.013345281,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083884621,0.001906469,0.244027987,-1
1,-1,0.00540599,-1,0,-1,-1,-1,-1,-1,-1,-1,0.070277868,0.00540599,0.459509136,-1
1,-1,0.00540599,-1,0,-1,-1,-1,-1,-1,-1,-1,0.070277868,0.00540599,0.459509136,-1
-1,-1,0.011422479,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083764849,0.001903747,0.243679561,-1
1,-1,0.023204548,1,0,-1,-1,-1,-1,-1,-1,-1,0.075414781,0.002900569,0.226244344,-1
-1,-1,0.016488046,-1,0,-1,-1,-1,-1,-1,-1,-1,0.0714482,0.005496015,0.192360539,-1
-1,-1,0.016349665,-1,0,-1,-1,-1,-1,-1,-1,-1,0.070848548,0.005449888,0.19074609,-1
-1,-1,0.014086491,-1,0,-1,-1,-1,-1,-1,-1,-1,0.065736958,0.004695497,0.248861342,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.010371723,-1,0,-1,-1,-1,-1,-1,-1,1,0.02281779,0.002074345,0.40034849,-1
-1,-1,0.017064361,1,0,-1,-1,-1,-1,-1,-1,1,0.056881204,0.00284406,0.270185717,-1
1,-1,0.024295432,1,0,-1,-1,-1,-1,-1,-1,-1,0.07982785,0.003470776,0.236012772,-1
-1,-1,0.011420088,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083747312,0.001903348,0.243628543,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.009639251,-1,0,-1,-1,-1,-1,0,-1,1,0.028917753,0.002409813,0.221702774,-1
1,-1,0.006637462,1,0,-1,-1,-1,-1,-1,-1,-1,0.053099695,0.006637462,0.172574008,-1
1,-1,0.024290374,1,0,-1,-1,-1,-1,-1,-1,-1,0.079811229,0.003470053,0.235963634,-1
1,-1,0.025821683,1,0,-1,-1,-1,-1,-1,-1,-1,0.084842672,0.003688812,0.250839205,-1
-1,-1,0.034485732,-1,0,-1,-1,-1,-1,-1,-1,-1,0.077592896,0.008621433,0.250021554,-1
-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.46692607,-1
-1,-1,0.020605811,1,0,-1,-1,-1,-1,-1,-1,1,0.07555464,0.003434302,0.298784257,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,-1,0.007749085,-1,0,-1,-1,-1,-1,0,-1,1,0.023247254,0.001937271,0.364206978,-1
1,-1,0.018103916,1,0,-1,-1,-1,-1,-1,-1,-1,0.054311749,0.006034639,0.187073804,-1
-1,-1,0.013625835,-1,0,-1,-1,-1,-1,-1,-1,1,0.073579507,0.002725167,0.305218695,-1
-1,-1,0.01761742,-1,0,-1,-1,-1,-1,-1,-1,1,0.066946196,0.003523484,0.32416053,-1
-1,-1,0.003404116,1,0,1,-1,-1,-1,-1,-1,-1,0.042891865,0.000680823,0.3016047,-1
-1,-1,0.003404858,1,0,1,-1,-1,-1,-1,-1,-1,0.042901211,0.000680972,0.301670423,-1
-1,-1,0.005106274,1,0,1,-1,-1,-1,-1,-1,-1,0.011489117,0.001276569,0.554030765,-1
-1,-1,0.005106274,1,0,1,-1,-1,-1,-1,-1,-1,0.011489117,0.001276569,0.554030765,-1
-1,-1,0.005190963,1,0,1,-1,-1,-1,-1,-1,-1,0.011679666,0.001297741,0.556730732,-1
-1,-1,0.003782949,1,0,1,-1,-1,-1,-1,-1,-1,0.014375208,0.00075659,0.313984808,-1
-1,-1,0.003781748,1,0,1,-1,-1,-1,-1,-1,-1,0.014370642,0.00075635,0.313885065,-1
-1,-1,0.005103668,1,0,1,-1,-1,-1,-1,-1,-1,0.011483254,0.001275917,0.553748006,-1
-1,-1,0.005105623,1,0,1,-1,-1,-1,-1,-1,-1,0.011487651,0.001276406,0.553960049,-1
-1,-1,0.005105623,1,0,1,-1,-1,-1,-1,-1,-1,0.011487651,0.001276406,0.553960049,-1
-1,-1,0.003334723,1,0,1,-1,-1,-1,-1,-1,-1,0.009170488,0.000833681,0.408503543,-1
-1,-1,0.003779575,1,0,1,-1,-1,-1,-1,-1,-1,0.014362386,0.000755915,0.31370474,-1
-1,-1,0.00336757,1,0,1,-1,-1,-1,-1,-1,-1,0.005893248,0.000841893,0.412527362,-1
-1,-1,0.003527275,1,0,1,-1,-1,-1,-1,-1,-1,0.007936368,0.000881819,0.425918414,-1
-1,-1,0.003526777,1,0,1,-1,-1,-1,-1,-1,-1,0.007935248,0.000881694,0.425858329,-1
-1,-1,0.002750597,1,0,1,-1,-1,-1,-1,-1,-1,0.00756414,0.000687649,0.442158393,-1
